Ciciliano comune,Ciciliano comune.1
,
Ciciliano – VedutaVista su Ciciliano dal giardino del convento di Santa Liberata,Ciciliano – VedutaVista su Ciciliano dal giardino del convento di Santa Liberata
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Massimiliano Calore (lista civica) dall'11-6-2017. Secondo mandato dal 12-6-2022
Territorio,Territorio
Coordinate,41°57′42″N 12°56′29″E
Altitudine,619 m s.l.m.
Superficie,"18,85 km²"
Abitanti,1 251[1] (30-11-2025)
Densità,"66,37 ab./km²"
Frazioni,Passo della Fortuna
Comuni confinanti,"Capranica Prenestina, Castel Madama, Cerreto Laziale, Pisoniano, Sambuci, San Gregorio da Sassola"
Altre informazioni,Altre informazioni
Cod. postale,00020
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058030
Cod. catastale,C677
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 427 GG[3]"
Nome abitanti,cicilianesi o ciciianelli
Patrono,santa Liberata
Giorno festivo,18 agosto
Cartografia,Cartografia
Ciciliano,Ciciliano
Ciciliano – MappaPosizione del comune di Ciciliano nella città metropolitana di Roma Capitale,Ciciliano – MappaPosizione del comune di Ciciliano nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
