Palombara Sabina comune,Palombara Sabina comune.1
,
Palombara Sabina – VedutaVista dell'abitato sul Colle,Palombara Sabina – VedutaVista dell'abitato sul Colle
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Alessandro Palombi (Lista civica Sabina Futura) dal 1-5-2015 (2º mandato dal 22-9-2020)
Territorio,Territorio
Coordinate,42°04′N 12°46′E
Altitudine,372 m s.l.m.
Superficie,"75,8 km²"
Abitanti,13 154[1] (30-11-2025)
Densità,"173,54 ab./km²"
Frazioni,"Colle Cianca, Colle Ciollo, Cretone, Marzolanella, Piedimonte, Ponte delle Tavole, Rotavello, Stazzano"
Comuni confinanti,"Guidonia Montecelio, Mentana, Monteflavio, Montelibretti, Monterotondo, Moricone, San Polo dei Cavalieri, Sant'Angelo Romano"
Altre informazioni,Altre informazioni
Cod. postale,00018
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058075
Cod. catastale,G293
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 2 012 GG[3]"
Nome abitanti,palombaresi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Palombara Sabina,Palombara Sabina
Palombara Sabina – MappaPosizione del comune di Palombara Sabina nella città metropolitana di Roma Capitale,Palombara Sabina – MappaPosizione del comune di Palombara Sabina nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
