Manziana comune,Manziana comune.1
,
Manziana – Veduta,Manziana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Alessio Telloni [1] (lista civica : Si amo manziana) dal 12-6-2022
Territorio,Territorio
Coordinate,42°08′N 12°08′E
Altitudine,374 m s.l.m.
Superficie,"23,8 km²"
Abitanti,7 836[2] (30-11-2025)
Densità,"329,24 ab./km²"
Frazioni,Quadroni
Comuni confinanti,"Bracciano, Canale Monterano, Oriolo Romano (VT), Tolfa"
Altre informazioni,Altre informazioni
Cod. postale,00066
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058054
Cod. catastale,E900
Targa,RM
Cl. sismica,zona 3B (sismicità bassa)[3]
Cl. climatica,"zona D, 1 936 GG[4]"
Nome abitanti,manzianesi
Patrono,san Giovanni Battista
Giorno festivo,29 agosto
Cartografia,Cartografia
Manziana,Manziana
Manziana – MappaPosizione del comune di Manziana nella città metropolitana di Roma Capitale,Manziana – MappaPosizione del comune di Manziana nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
