Montorio Romano comune,Montorio Romano comune.1
,
Montorio Romano – VedutaVeduta dalla località di Santa Maria (Montorio Romano),Montorio Romano – VedutaVeduta dalla località di Santa Maria (Montorio Romano)
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,"Vincenzo Ponzani (centro-sinistra) (lista civica ""Insieme per il futuro di Montorio"") dal 5-10-2021"
Lingue ufficiali,"Italiano, Montoriano (dialetto locale)"
Territorio,Territorio
Coordinate,42°08′16″N 12°48′28″E
Altitudine,670 (min 135 - max 934) m s.l.m.
Superficie,"23,39 km²"
Abitanti,1 918[1] (30-11-2025)
Densità,82 ab./km²
Comuni confinanti,"Monteflavio, Montelibretti, Moricone, Nerola, Scandriglia (RI)"
Altre informazioni,Altre informazioni
Cod. postale,00010
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058066
Cod. catastale,F692
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 224 GG[3]"
Nome abitanti,Montoriani
Patrono,"san Leonardo, santa Barbara"
Giorno festivo,"6 novembre, 4 dicembre"
Cartografia,Cartografia
Montorio Romano,Montorio Romano
Montorio Romano – MappaPosizione del comune di Montorio Romano nella città metropolitana di Roma Capitale,Montorio Romano – MappaPosizione del comune di Montorio Romano nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
