Vicovaro comune,Vicovaro comune.1
,
Vicovaro – VedutaLa chiesa di San Pietro,Vicovaro – VedutaLa chiesa di San Pietro
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Laura Mattiucci (commissario prefettizio) dal 9-7-2025
Territorio,Territorio
Coordinate,42°01′04.15″N 12°53′48.88″E
Altitudine,300 m s.l.m.
Superficie,"35,94 km²"
Abitanti,3 522[1] (30-11-2025)
Densità,98 ab./km²
Frazioni,"Sancosimato, Cerreto, Pratarelle"
Comuni confinanti,"Castel Madama, Mandela, Roccagiovine, Sambuci, San Polo dei Cavalieri, Saracinesco, Tivoli"
Altre informazioni,Altre informazioni
Cod. postale,00029
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058112
Cod. catastale,L851
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 891 GG[3]"
Nome abitanti,vicovaresi
Patrono,sant'Antonio Abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Vicovaro,Vicovaro
Vicovaro – MappaPosizione del comune di Vicovaro nella città metropolitana di Roma Capitale,Vicovaro – MappaPosizione del comune di Vicovaro nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
