Gavignano comune,Gavignano comune.1
,
Gavignano – VedutaPanorama,Gavignano – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Ivan Ferrari (lista civica Riprendiamoci il futuro) dal 26-5-2019
Territorio,Territorio
Coordinate,41°42′N 13°03′E
Altitudine,404 m s.l.m.
Superficie,"15,04 km²"
Abitanti,1 863[1] (30-11-2025)
Densità,"123,87 ab./km²"
Frazioni,Rossilli
Comuni confinanti,"Anagni (FR), Montelanico, Paliano (FR), Segni"
Altre informazioni,Altre informazioni
Cod. postale,00030
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058041
Cod. catastale,D945
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 935 GG[3]"
Nome abitanti,gavignanesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Gavignano,Gavignano
Gavignano – MappaPosizione del comune di Gavignano nella città metropolitana di Roma Capitale,Gavignano – MappaPosizione del comune di Gavignano nella città metropolitana di Roma Capitale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
