Subiaco comune,Subiaco comune.1
,
Subiaco – Veduta,Subiaco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Felice Rapone (lista civica di centro-destra) dal 26-5-2025
Territorio,Territorio
Coordinate,41°56′N 13°06′E
Altitudine,408 m s.l.m.
Superficie,"63,23 km²"
Abitanti,8 522[1] (30-11-2025)
Densità,"134,78 ab./km²"
Frazioni,"Monte Livata - Campo dell'Osso, Vignola, La Torre - Ponte Lucidi[2]"
Comuni confinanti,"Affile, Agosta, Arcinazzo Romano, Camerata Nuova, Canterano, Cervara di Roma, Jenne, Rocca Santo Stefano, Vallepietra"
Altre informazioni,Altre informazioni
Cod. postale,00028
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058103
Cod. catastale,I992
Targa,RM
Cl. sismica,zona 2B (sismicità media)[3]
Cl. climatica,"zona D, 2 034 GG[4]"
Nome abitanti,sublacensi
Patrono,san Benedetto e santa Chelidonia[5]
Giorno festivo,21 marzo e 13 ottobre[5]
Cartografia,Cartografia
Subiaco,Subiaco
Subiaco – MappaPosizione del comune di Subiaco nella città metropolitana di Roma Capitale,Subiaco – MappaPosizione del comune di Subiaco nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
