Pisoniano comune,Pisoniano comune.1
,
Pisoniano – VedutaPisoniano vista da est,Pisoniano – VedutaPisoniano vista da est
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Antonio D'Orazi (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,41°54′28″N 12°57′30″E
Altitudine,532 m s.l.m.
Superficie,"12,92 km²"
Abitanti,714[1] (30-11-2025)
Densità,"55,26 ab./km²"
Frazioni,Sassa
Comuni confinanti,"Bellegra, Capranica Prenestina, Cerreto Laziale, Ciciliano, Gerano, San Vito Romano"
Altre informazioni,Altre informazioni
Cod. postale,00020
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058077
Cod. catastale,G704
Targa,RM / Roma
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 280 GG[3]"
Nome abitanti,pisonianesi
Patrono,santa Vittoria
Giorno festivo,9 luglio
Soprannome,"Vicus Pisonis, Castrum Pisciani, Piscianum, Pisiano, Pisciano, Pisonianum"
Cartografia,Cartografia
Pisoniano,Pisoniano
Pisoniano – MappaPosizione del comune di Pisoniano nella città metropolitana di Roma Capitale,Pisoniano – MappaPosizione del comune di Pisoniano nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
