San Vito Romano comune,San Vito Romano comune.1
,
San Vito Romano – VedutaScorcio visto dal Santuario della Madonnina di Compigliano.,San Vito Romano – VedutaScorcio visto dal Santuario della Madonnina di Compigliano.
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Maurizio Pasquali (Lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,41°53′N 12°59′E
Altitudine,660 m s.l.m.
Superficie,"12,66 km²"
Abitanti,3 011[1] (30-11-2025)
Densità,"237,84 ab./km²"
Comuni confinanti,"Bellegra, Capranica Prenestina, Genazzano, Olevano Romano, Pisoniano"
Altre informazioni,Altre informazioni
Cod. postale,00030
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058100
Cod. catastale,I400
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 488 GG[3]"
Nome abitanti,sanvitesi
Patrono,san Vito
Giorno festivo,15 giugno
Cartografia,Cartografia
San Vito Romano,San Vito Romano
San Vito Romano – MappaPosizione del comune di San Vito Romano nella città metropolitana di Roma Capitale,San Vito Romano – MappaPosizione del comune di San Vito Romano nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
