Valmontone comune,Valmontone comune.1
,
Valmontone – VedutaPalazzo Doria e la Collegiata visti da Colle Sant'Angelo,Valmontone – VedutaPalazzo Doria e la Collegiata visti da Colle Sant'Angelo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Veronica Bernabei (centro-sinistra) dal 15-5-2023
Territorio,Territorio
Coordinate,41°47′N 12°55′E
Altitudine,303 m s.l.m.
Superficie,"40,91 km²"
Abitanti,15 664[1] (30-11-2025)
Densità,"382,89 ab./km²"
Frazioni,"Colle Belvedere, Colle San Giudico, Colle Vallerano, Cruci, Valle Pera"
Comuni confinanti,"Artena, Cave, Colleferro, Genazzano, Labico, Palestrina"
Altre informazioni,Altre informazioni
Cod. postale,00038
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058110
Cod. catastale,L639
Targa,ROMA
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 715 GG[3]"
Nome abitanti,valmontonesi
Patrono,san Luigi Gonzaga
Giorno festivo,21 giugno
Cartografia,Cartografia
Valmontone,Valmontone
Valmontone – MappaPosizione del comune di Valmontone nella città metropolitana di Roma Capitale,Valmontone – MappaPosizione del comune di Valmontone nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
