Formello comune,Formello comune.1
,
Formello – Veduta,Formello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Gian Filippo Santi (Lega) dal 2017
Territorio,Territorio
Coordinate,42°05′N 12°24′E
Altitudine,225 m s.l.m.
Superficie,"31,15 km²"
Abitanti,13 921[1] (30-11-2025)
Densità,"446,9 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Campagnano di Roma, Roma, Sacrofano"
Altre informazioni,Altre informazioni
Cod. postale,00060
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058038
Cod. catastale,D707
Targa,Roma
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona D, 1 693 GG[3]"
Nome abitanti,formellesi
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Formello,Formello
Formello – MappaPosizione del comune di Formello nella città metropolitana di Roma Capitale,Formello – MappaPosizione del comune di Formello nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
