Trevignano Romano comune,Trevignano Romano comune.1
,
Trevignano Romano – Veduta,Trevignano Romano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Claudia Maciucchi (lista civica Chi ama Trevignano) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,42°09′N 12°15′E
Altitudine,173 m s.l.m.
Superficie,"38,99 km²"
Acque interne,"7,21 km² (18,49%)"
Abitanti,5 745[1] (30-11-2025)
Densità,"147,35 ab./km²"
Comuni confinanti,"Anguillara Sabazia, Bracciano, Campagnano di Roma, Monterosi (VT), Nepi (VT), Roma, Sutri (VT)"
Altre informazioni,Altre informazioni
Cod. postale,00069
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058107
Cod. catastale,L401
Targa,RM
Cl. sismica,zona 3B (sismicità bassa)[2]
Cl. climatica,"zona D, 1 605 GG[3]"
Nome abitanti,trevignanesi
Patrono,san Bernardino da Siena
Giorno festivo,20 maggio
Cartografia,Cartografia
Trevignano Romano,Trevignano Romano
Trevignano Romano – MappaPosizione del comune di Trevignano Romano nella città metropolitana di Roma Capitale,Trevignano Romano – MappaPosizione del comune di Trevignano Romano nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
