Canterano comune,Canterano comune.1
,
Canterano – VedutaCanterano dal Monte Ruffo,Canterano – VedutaCanterano dal Monte Ruffo
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Giorgio Catarinozzi dall'08-06-2024
Territorio,Territorio
Coordinate,41°56′25.84″N 13°02′13.7″E
Altitudine,602 m s.l.m.
Superficie,"7,37 km²"
Abitanti,343[1] (30-11-2025)
Densità,"46,54 ab./km²"
Frazioni,Madonna della Pace
Comuni confinanti,"Agosta, Gerano, Rocca Canterano, Rocca Santo Stefano, Subiaco"
Altre informazioni,Altre informazioni
Cod. postale,00020
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058017
Cod. catastale,B635
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 328 GG[3]"
Nome abitanti,canteranesi
Patrono,san Mauro Abate e Madonna degli Angeli
Giorno festivo,15 gennaio
Cartografia,Cartografia
Canterano,Canterano
Canterano – MappaPosizione del comune di Canterano nella città metropolitana di Roma Capitale,Canterano – MappaPosizione del comune di Canterano nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
