Arcinazzo Romano comune,Arcinazzo Romano comune.1
,
Arcinazzo Romano – Veduta,Arcinazzo Romano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Luca Marocchi (lista civica) dal 22-09-2020
Territorio,Territorio
Coordinate,41°53′N 13°07′E
Altitudine,831 m s.l.m.
Superficie,"28,31 km²"
Abitanti,1 236[1] (30-11-2025)
Densità,"43,66 ab./km²"
Frazioni,Altipiani di Arcinazzo
Comuni confinanti,"Affile, Jenne, Piglio (FR), Roiate, Serrone (FR), Subiaco, Trevi nel Lazio (FR)"
Altre informazioni,Altre informazioni
Cod. postale,00020
Prefisso,"0774, 0775 (limitatamente alla frazione di Altipiani di Arcinazzo)"
Fuso orario,UTC+1
Codice ISTAT,058008
Cod. catastale,A370
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 783 GG[3]"
Nome abitanti,ponzesi o narzini
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Arcinazzo Romano,Arcinazzo Romano
Arcinazzo Romano – MappaPosizione del comune di Arcinazzo Romano nella città metropolitana di Roma Capitale,Arcinazzo Romano – MappaPosizione del comune di Arcinazzo Romano nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
