Tolfa comune,Tolfa comune.1
,
Tolfa – VedutaPanorama di Tolfa,Tolfa – VedutaPanorama di Tolfa
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Stefania Bentivoglio[1] (lista civica di centro-destra) dal 5-10-2021
Territorio,Territorio
Coordinate,42°09′N 11°56′E
Altitudine,484 m s.l.m.
Superficie,"168,27 km²"
Abitanti,4 693[2] (30-11-2025)
Densità,"27,89 ab./km²"
Frazioni,"Castello di Rota, Santa Severa Nord[3]"
Comuni confinanti,"Allumiere, Blera (VT), Bracciano, Canale Monterano, Cerveteri, Manziana, Monte Romano (VT), Santa Marinella, Tarquinia (VT), Vejano (VT)"
Altre informazioni,Altre informazioni
Cod. postale,00059
Prefisso,0766
Fuso orario,UTC+1
Codice ISTAT,058105
Cod. catastale,L192
Targa,RM
Cl. sismica,zona 3B (sismicità bassa)[4]
Cl. climatica,"zona D, 2 070 GG[5]"
Nome abitanti,tolfetani
Patrono,sant'Egidio Abate
Giorno festivo,1º settembre
Cartografia,Cartografia
Tolfa,Tolfa
Tolfa – MappaPosizione del comune di Tolfa nella città metropolitana di Roma Capitale,Tolfa – MappaPosizione del comune di Tolfa nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
