Cerveteri comune,Cerveteri comune.1
,
Cerveteri – VedutaPiazza Santa Maria,Cerveteri – VedutaPiazza Santa Maria
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Elena Gubetti (centro-sinistra) dal 27-6-2022
Territorio,Territorio
Coordinate,42°00′27″N 12°06′18″E
Altitudine,81 m s.l.m.
Superficie,"134,32 km²"
Abitanti,38 205[1] (30-11-2025)
Densità,"284,43 ab./km²"
Frazioni,"Ceri, Due Casette, Furbara, Borgo San Martino, Sasso, Valcanneto, Casetta Mattei, Cerqueto, Quartaccio, Cerenova, Campo di Mare, I Terzi, San Paolo, Gricciano, Pian della Carlotta, Zambra."
Comuni confinanti,"Anguillara Sabazia, Bracciano, Fiumicino, Ladispoli, Santa Marinella, Tolfa"
Altre informazioni,Altre informazioni
Cod. postale,00052
Prefisso,06-99
Fuso orario,UTC+1
Codice ISTAT,058029
Cod. catastale,C552
Targa,Roma
Cl. sismica,zona 3B (sismicità bassa)[2]
Cl. climatica,"zona D, 1 450 GG[3]"
Nome abitanti,"ceretani, in dialetto cervetrani o cerveterani, anticamente ceriti"
Patrono,san Michele Arcangelo
Giorno festivo,8 maggio
Cartografia,Cartografia
Cerveteri,Cerveteri
Cerveteri – MappaPosizione del comune di Cerveteri nella città metropolitana di Roma Capitale,Cerveteri – MappaPosizione del comune di Cerveteri nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
