Rignano Flaminio comune,Rignano Flaminio comune.1
,
Rignano Flaminio – VedutaLa via Flaminia antica,Rignano Flaminio – VedutaLa via Flaminia antica
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Vincenzo Marcorelli (lista civica) dal 04-10-2021
Territorio,Territorio
Coordinate,42°12′N 12°29′E
Altitudine,250 m s.l.m.
Superficie,"38,56 km²"
Abitanti,10 179[1] (30-11-2025)
Densità,"263,98 ab./km²"
Frazioni,"Capannacce, Case Morolo, Montelarco, Santo Sisinio, Valle Spadana, Vallelunga, Pietrolo, Monte Canepina, Vallerano, Centro storico."
Comuni confinanti,"Calcata (VT), Capena, Civitella San Paolo, Faleria (VT), Magliano Romano, Morlupo, Sant'Oreste"
Altre informazioni,Altre informazioni
Cod. postale,00068
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,058082
Cod. catastale,H288
Targa,RM
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona D, 1 908 GG[3]"
Nome abitanti,rignanesi
Patrono,santi Vincenzo ed Anastasio
Giorno festivo,22 gennaio
Cartografia,Cartografia
Rignano Flaminio,Rignano Flaminio
Rignano Flaminio – MappaPosizione del comune di Rignano Flaminio nella città metropolitana di Roma Capitale,Rignano Flaminio – MappaPosizione del comune di Rignano Flaminio nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
