Mazzano Romano comune,Mazzano Romano comune.1
,
Mazzano Romano – Veduta,Mazzano Romano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Nicoletta Irato[1] (lista civica Noi tutti) dal 7-5-2012
Territorio,Territorio
Coordinate,42°12′20″N 12°23′51″E
Altitudine,200 m s.l.m.
Superficie,"29,07 km²"
Abitanti,2 945[2] (30-11-2025)
Densità,"101,31 ab./km²"
Comuni confinanti,"Calcata (VT), Campagnano di Roma, Castel Sant'Elia (VT), Faleria (VT), Magliano Romano, Nepi (VT)"
Altre informazioni,Altre informazioni
Cod. postale,00060
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058058
Cod. catastale,F064
Targa,RM
Cl. sismica,zona 3A (sismicità bassa)[3]
Cl. climatica,"zona D, 1 649 GG[4]"
Nome abitanti,mazzanesi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Mazzano Romano,Mazzano Romano
Mazzano Romano – MappaPosizione del comune di Mazzano Romano nella città metropolitana di Roma Capitale,Mazzano Romano – MappaPosizione del comune di Mazzano Romano nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
