Sant'Oreste comune,Sant'Oreste comune.1
,
Sant'Oreste – VedutaVista di Sant'Oreste,Sant'Oreste – VedutaVista di Sant'Oreste
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Gregory Paolucci (lista civica Magnifica Comunità) dal 4-10-2021
Territorio,Territorio
Coordinate,42°14′N 12°31′E
Altitudine,420 m s.l.m.
Superficie,"43,89 km²"
Abitanti,3 400[1] (30-11-2025)
Densità,"77,47 ab./km²"
Frazioni,"Murella-Stazione Sant'Oreste, Petrolo, Valle Prato"
Comuni confinanti,"Civitella San Paolo, Civita Castellana (VT), Faleria (VT), Nazzano, Ponzano Romano, Rignano Flaminio, Stimigliano (RI)"
Altre informazioni,Altre informazioni
Cod. postale,00060
Prefisso,0761
Fuso orario,UTC+1
Codice ISTAT,058099
Cod. catastale,I352
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 209 GG[3]"
Nome abitanti,santorestesi
Patrono,sant'Edisto
Giorno festivo,12 ottobre
Cartografia,Cartografia
Sant'Oreste,Sant'Oreste
Sant'Oreste – MappaPosizione del comune di Sant'Oreste nella città metropolitana di Roma Capitale,Sant'Oreste – MappaPosizione del comune di Sant'Oreste nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
