Jenne comune,Jenne comune.1
,
Jenne – VedutaVeduta di Jenne,Jenne – VedutaVeduta di Jenne
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Giorgio Pacchiarotti (lista civica Vivere Jenne) dal 16-5-2011 (3º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,41°53′N 13°10′E
Altitudine,834 m s.l.m.
Superficie,"31,52 km²"
Abitanti,324[1] (30-11-2025)
Densità,"10,28 ab./km²"
Comuni confinanti,"Arcinazzo Romano, Subiaco, Trevi nel Lazio (FR), Vallepietra"
Altre informazioni,Altre informazioni
Cod. postale,00020
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058048
Cod. catastale,E382
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 788 GG[3]"
Nome abitanti,jennesi
Patrono,san Rocco
Cartografia,Cartografia
Jenne,Jenne
Jenne – MappaPosizione del comune di Jenne nella città metropolitana di Roma Capitale,Jenne – MappaPosizione del comune di Jenne nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
