Vivaro Romano comune,Vivaro Romano comune.1
,
Vivaro Romano – VedutaL'abitato di Vivaro Romano visto dai resti del Castello Borghese,Vivaro Romano – VedutaL'abitato di Vivaro Romano visto dai resti del Castello Borghese
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Beatrice Sforza (lista civica) dal 5-6-2016
Territorio,Territorio
Coordinate,42°06′02″N 13°00′27″E
Altitudine,757 m s.l.m.
Superficie,"12,50 km²"
Abitanti,151[1] (30-11-2025)
Densità,"12,08 ab./km²"
Comuni confinanti,"Carsoli (AQ), Oricola (AQ), Orvinio (RI), Pozzaglia Sabina (RI), Turania (RI), Vallinfreda (RM)"
Altre informazioni,Altre informazioni
Cod. postale,00020
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058113
Cod. catastale,M095
Targa,Roma
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 855 GG[3]"
Nome abitanti,vivaresi
Patrono,san Biagio
Giorno festivo,3 febbraio
PIL procapite,(nominale) 20 328 €
Cartografia,Cartografia
Vivaro Romano,Vivaro Romano
Vivaro Romano – MappaPosizione del Comune di Vivaro Romano nella città metropolitana di Roma Capitale,Vivaro Romano – MappaPosizione del Comune di Vivaro Romano nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
