Poli comune,Poli comune.1
,
Poli – VedutaScorcio dell'abitato,Poli – VedutaScorcio dell'abitato
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Federico Mariani (lista civica Insieme per Poli) dal 26-5-2019
Territorio,Territorio
Coordinate,41°53′N 12°53′E
Altitudine,435 m s.l.m.
Superficie,"21,75 km²"
Abitanti,2 241[1] (30-11-2025)
Densità,"103,03 ab./km²"
Frazioni,"Cadipozze, Casale Pelliccioni, Casalvecchio, Colle Arnaro, Colle Cancelliere, Colle Spina, Ficozzivoli, Fossatello, La Cona, La Piantata, Magliuri, Moletta, Polledrara, Pratarello, Traglione, Villa Catena, Villa Luana"
Comuni confinanti,"Capranica Prenestina, Casape, Castel San Pietro Romano, Roma, San Gregorio da Sassola"
Altre informazioni,Altre informazioni
Cod. postale,00010
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058078
Cod. catastale,G784
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 121 GG[3]"
Nome abitanti,polesi
Patrono,sant'Eustachio
Giorno festivo,20 settembre
Cartografia,Cartografia
Poli,Poli
Poli – MappaPosizione del comune di Poli nella città metropolitana di Roma Capitale,Poli – MappaPosizione del comune di Poli nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
