Colleferro comune,Colleferro comune.1
,
Colleferro – VedutaPiazza Italia,Colleferro – VedutaPiazza Italia
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,"Pierluigi Sanna (RiparTIAMO Colleferro, Liste civiche, PD) dal 14-5-2015"
Data di istituzione,13 giugno 1935
Territorio,Territorio
Coordinate,41°43′43.25″N 13°00′11.3″E
Altitudine,218 m s.l.m.
Superficie,"26,99 km²"
Abitanti,20 386[1] (30-11-2025)
Densità,"755,32 ab./km²"
Frazioni,"Colleferro Scalo, Quarto Chilometro, San Bruno"
Comuni confinanti,"Artena, Genazzano, Paliano (FR), Segni, Valmontone"
Altre informazioni,Altre informazioni
Cod. postale,00034
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058034
Cod. catastale,C858
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 571 GG[3]"
Nome abitanti,colleferrini
Patrono,santa Barbara
Giorno festivo,4 dicembre
Cartografia,Cartografia
Colleferro,Colleferro
Colleferro – MappaPosizione del comune di Colleferro nella città metropolitana di Roma Capitale,Colleferro – MappaPosizione del comune di Colleferro nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
