Rocca di Cave comune,Rocca di Cave comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Gabriella Federici (Progetto Insieme Rocca Viva) dal 4-10-2021
Territorio,Territorio
Coordinate,41°51′N 12°57′E
Altitudine,933 m s.l.m.
Superficie,"11,09 km²"
Abitanti,364[1] (30-11-2025)
Densità,"32,82 ab./km²"
Comuni confinanti,"Capranica Prenestina, Castel San Pietro Romano, Cave, Genazzano, Palestrina"
Altre informazioni,Altre informazioni
Cod. postale,00030
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058085
Cod. catastale,H401
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 958 GG[3]"
Nome abitanti,roccheggiani
Patrono,sant'Egidio Abate
Giorno festivo,1º settembre
Cartografia,Cartografia
Rocca di Cave,Rocca di Cave
Rocca di Cave – MappaPosizione del comune di Rocca di Cave nella città metropolitana di Roma Capitale,Rocca di Cave – MappaPosizione del comune di Rocca di Cave nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
