Monte Porzio Catone comune,Monte Porzio Catone comune.1
,
Monte Porzio Catone – VedutaVista verso la chiesa principale,Monte Porzio Catone – VedutaVista verso la chiesa principale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Massimo Pulcini (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,41°49′N 12°43′E
Altitudine,451[1] m s.l.m.
Superficie,"9,13 km²"
Abitanti,8 603[2] (30-11-2025)
Densità,"942,28 ab./km²"
Frazioni,"Armetta, Camaldoli, Fontana Candida, Massarosa, Monte Ciuffo, Pilozzo, Pratone - Belvedere, San Marco, Selve di Mondragone, Suore Domenicane di Betania, Villa Vecchia"
Comuni confinanti,"Frascati, Grottaferrata, Monte Compatri, Roma"
Altre informazioni,Altre informazioni
Cod. postale,00078[3]
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058064
Cod. catastale,F590
Targa,RM
Cl. sismica,zona 2B (sismicità media)[4]
Cl. climatica,"zona D, 2 009 GG[5]"
Nome abitanti,monteporziani
Patrono,sant'Antonino Martire
Giorno festivo,2 settembre
Cartografia,Cartografia
Monte Porzio Catone,Monte Porzio Catone
Monte Porzio Catone – MappaPosizione del comune di Monte Porzio Catone nella città metropolitana di Roma Capitale,Monte Porzio Catone – MappaPosizione del comune di Monte Porzio Catone nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
