Bellegra comune,Bellegra comune.1
,
Bellegra – VedutaBellegra vista da Olevano,Bellegra – VedutaBellegra vista da Olevano
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Fabio Zambon dal 9-6-2024
Territorio,Territorio
Coordinate,41°53′N 13°02′E
Altitudine,815 m s.l.m.
Superficie,"18,78 km²"
Abitanti,2 582[1] (30-11-2025)
Densità,"137,49 ab./km²"
Frazioni,"Vennere, Maiuro le cese, Camorano, Fontanafresca, Vaccarecce, Vadocanale (Le fornaci), La Missione"
Comuni confinanti,"Affile, Gerano, Olevano Romano, Pisoniano, Rocca Santo Stefano, Roiate, San Vito Romano"
Altre informazioni,Altre informazioni
Cod. postale,00030
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058012
Cod. catastale,A749
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 758 GG[3]"
Nome abitanti,bellegrani
Patrono,san Sisto II
Giorno festivo,6 agosto
Cartografia,Cartografia
Bellegra,Bellegra
Bellegra – MappaPosizione del comune di Bellegra nella città metropolitana di Roma Capitale,Bellegra – MappaPosizione del comune di Bellegra nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
