Anzio comune,Anzio comune.1
,
Anzio – Veduta,Anzio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Aurelio Lo Fazio (PD) dal 2-12-2024
Territorio,Territorio
Coordinate,41°26′50″N 12°37′42″E
Altitudine,3 m s.l.m.
Superficie,"43,65 km²"
Abitanti,60 035[1] (30-11-2025)
Densità,"1 375,37 ab./km²"
Frazioni,"Anzio Colonia, Cincinnato, Falasche, Lavinio Stazione, Lavinio Mare, Lido dei Gigli, Lido dei Pini, Lido delle Sirene, Padiglione, Pocacqua, Marechiaro, Miglioramento, Villa Claudia, Santa Teresa, Sacro Cuore, Tor Caldara"
Comuni confinanti,"Aprilia (LT), Ardea, Nettuno"
Altre informazioni,Altre informazioni
Cod. postale,00042
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058007
Cod. catastale,A323
Targa,Roma/RM
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona C, 1 243 GG[3]"
Nome abitanti,"anziati, portodanzesi"
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Motto,(LA) O diva gratum quae regis Antium (IT) O dea che reggi l'amata Anzio
Cartografia,Cartografia
Anzio,Anzio
Anzio – MappaPosizione del comune di Anzio nella città metropolitana di Roma Capitale,Anzio – MappaPosizione del comune di Anzio nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
