Castel Gandolfo comune,Castel Gandolfo comune.1
,
Castel Gandolfo – VedutaPanorama del centro storico al mattino,Castel Gandolfo – VedutaPanorama del centro storico al mattino
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Alberto De Angelis (lista civica Castel Gandolfo futura) dal 13-6-2022
Territorio,Territorio
Coordinate,41°44′49″N 12°39′07″E
Altitudine,426[1] m s.l.m.
Superficie,"14,19 km²"
Acque interne,"6 km² (42,28%)"
Abitanti,8 533[2] (30-11-2025)
Densità,"601,34 ab./km²"
Frazioni,"Mole di Castel Gandolfo, Pavona"
Comuni confinanti,"Albano Laziale, Grottaferrata, Marino, Rocca di Papa, Roma"
Altre informazioni,Altre informazioni
Cod. postale,00073
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058022
Cod. catastale,C116
Targa,RM
Cl. sismica,zona 2B (sismicità media)[3]
Cl. climatica,"zona D, 1 966 GG[4]"
Nome abitanti,castellani
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Castel Gandolfo,Castel Gandolfo
Castel Gandolfo – MappaPosizione del comune di Castel Gandolfo nella città metropolitana di Roma Capitale,Castel Gandolfo – MappaPosizione del comune di Castel Gandolfo nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
