Nazzano comune,Nazzano comune.1
,
Nazzano – VedutaPanorama,Nazzano – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Patrizio Gianferro (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,42°13′48.65″N 12°35′39.84″E
Altitudine,202 m s.l.m.
Superficie,"12,4 km²"
Abitanti,1 302[1] (30-11-2025)
Densità,105 ab./km²
Comuni confinanti,"Civitella San Paolo, Fiano Romano, Filacciano, Montopoli di Sabina (RI), Ponzano Romano, Sant'Oreste, Torrita Tiberina"
Altre informazioni,Altre informazioni
Cod. postale,00060
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,058069
Cod. catastale,F857
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 823 GG[3]"
Nome abitanti,nazzanesi
Patrono,sant'Antimo
Giorno festivo,11 maggio
Cartografia,Cartografia
Nazzano,Nazzano
Nazzano – MappaPosizione del comune di Nazzano nella Città metropolitana di Roma Capitale,Nazzano – MappaPosizione del comune di Nazzano nella Città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
