Mandela comune,Mandela comune.1
,
Mandela – Veduta,Mandela – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Claudio Pettinelli dal 5-6-2016
Territorio,Territorio
Coordinate,42°01′48″N 12°55′23″E
Altitudine,487 m s.l.m.
Superficie,"13,72 km²"
Abitanti,930[1] (30-11-2025)
Densità,"67,78 ab./km²"
Frazioni,Colle Cappellino
Comuni confinanti,"Anticoli Corrado, Cineto Romano, Licenza, Percile, Roccagiovine, Roviano, Saracinesco, Vicovaro"
Altre informazioni,Altre informazioni
Cod. postale,00020
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058053
Cod. catastale,B632
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 2 075 GG[3]"
Nome abitanti,mandelesi
Patrono,san Nicola
Giorno festivo,prima domenica di dicembre
Cartografia,Cartografia
Mandela,Mandela
Mandela – MappaPosizione del comune di Mandela nella città metropolitana di Roma Capitale,Mandela – MappaPosizione del comune di Mandela nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
