Torrita Tiberina comune,Torrita Tiberina comune.1
,
Torrita Tiberina – Veduta,Torrita Tiberina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Rita Colafigli (lista civica) dall'11-6-2017
Territorio,Territorio
Coordinate,42°14′N 12°37′E
Altitudine,179 m s.l.m.
Superficie,"10,78 km²"
Abitanti,1 115[1] (30-11-2025)
Densità,"103,43 ab./km²"
Comuni confinanti,"Filacciano, Montopoli di Sabina (RI), Nazzano, Poggio Mirteto (RI)"
Altre informazioni,Altre informazioni
Cod. postale,00060
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,058106
Cod. catastale,L302
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 773 GG[3]"
Nome abitanti,torritani
Patrono,san Tommaso Apostolo
Giorno festivo,21 dicembre
Cartografia,Cartografia
Torrita Tiberina,Torrita Tiberina
Torrita Tiberina – MappaPosizione del comune di Torrita Tiberina nella città metropolitana di Roma Capitale,Torrita Tiberina – MappaPosizione del comune di Torrita Tiberina nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
