Riano comune,Riano comune.1
,
Riano – VedutaStazione di Riano.,Riano – VedutaStazione di Riano.
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Luca Abbruzzetti (lista civica Riano riparte) dal 4-10-2021
Territorio,Territorio
Coordinate,42°05′28″N 12°31′22″E
Altitudine,125 m s.l.m.
Superficie,"25,43 km²"
Abitanti,10 500[1] (30-11-2025)
Densità,"412,9 ab./km²"
Frazioni,"Belvedere, Colle delle Rose, Colle Romano, La Rosta"
Comuni confinanti,"Castelnuovo di Porto, Monterotondo, Roma, Sacrofano"
Altre informazioni,Altre informazioni
Cod. postale,00060
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058081
Cod. catastale,H267
Targa,RM
Cl. sismica,zona 3A (sismicità bassa)[2]
Cl. climatica,"zona D, 1 599 GG[3]"
Nome abitanti,rianesi
Patrono,San Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
Riano,Riano
Riano – MappaPosizione del comune di Riano nella città metropolitana di Roma Capitale,Riano – MappaPosizione del comune di Riano nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
