Guidonia Montecelio comune,Guidonia Montecelio comune.1
,
Guidonia Montecelio – Veduta,Guidonia Montecelio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Mauro Lombardo (liste civiche) dal 27-6-2022
Data di istituzione,21 ottobre 1937
Territorio,Territorio
Coordinate,41°59′48.55″N 12°43′34.1″E
Altitudine,105 m s.l.m.
Superficie,"79,47 km²"
Abitanti,89 424[1] (30-11-2025)
Densità,"1 125,25 ab./km²"
Frazioni,"Guidonia, Villanova, Villalba, La Botte, Setteville, Albuccione, Montecelio, Colleverde, Colle Fiorito, Bivio di Guidonia, Castel Arcione, Casa Calda, Marco Simone, Laghetto, Pichini"
Comuni confinanti,"Fonte Nuova, Marcellina, Palombara Sabina, Roma, San Polo dei Cavalieri, Sant'Angelo Romano, Tivoli"
Altre informazioni,Altre informazioni
Cod. postale,00012
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058047
Cod. catastale,E263
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 561 GG[3]"
Nome abitanti,Guidoniani
Patrono,Madonna di Loreto
Giorno festivo,10 dicembre
Cartografia,Cartografia
Guidonia Montecelio,Guidonia Montecelio
Guidonia Montecelio – MappaPosizione del comune di Guidonia Montecelio nella città metropolitana di Roma Capitale,Guidonia Montecelio – MappaPosizione del comune di Guidonia Montecelio nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
