Roccagiovine comune,Roccagiovine comune.1
,
Roccagiovine – VedutaPiazza Vacuna,Roccagiovine – VedutaPiazza Vacuna
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Marco Bernardi (lista civica Proviamoci insieme) dal 27-5-2013 (2º mandato)
Territorio,Territorio
Coordinate,42°03′N 12°54′E
Altitudine,520 m s.l.m.
Superficie,"8,41 km²"
Abitanti,246[1] (30-11-2025)
Densità,"29,25 ab./km²"
Comuni confinanti,"Licenza, Mandela, San Polo dei Cavalieri, Vicovaro"
Altre informazioni,Altre informazioni
Cod. postale,00020
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058087
Cod. catastale,H411
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 203 GG[3]"
Nome abitanti,roccatani
Patrono,san Nicola di Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Roccagiovine,Roccagiovine
Roccagiovine – MappaPosizione del comune di Roccagiovine nella città metropolitana di Roma Capitale,Roccagiovine – MappaPosizione del comune di Roccagiovine nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
