Gerano comune,Gerano comune.1
(dettagli),(dettagli)
Gerano – Veduta,Gerano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Danilo Felici[1] (lista civica Avanti per Gerano) dal 26-5-2014 (2º mandato dal 26-5-2019)
Territorio,Territorio
Coordinate,41°56′00″N 12°59′37″E
Altitudine,502 m s.l.m.
Superficie,"10,12 km²"
Abitanti,1 114[2] (30-11-2025)
Densità,"110,08 ab./km²"
Frazioni,Pisciarello[3]
Comuni confinanti,"Bellegra, Canterano, Cerreto Laziale, Pisoniano, Rocca Canterano, Rocca Santo Stefano"
Altre informazioni,Altre informazioni
Cod. postale,00025
Prefisso,0774
Fuso orario,UTC+1
Codice ISTAT,058044
Cod. catastale,D978
Targa,RM
Cl. sismica,zona 2B (sismicità media)[4]
Cl. climatica,"zona E, 2 229 GG[5]"
Nome abitanti,geranesi (jeraneji [iɛɾaneʎ] in dialetto [6][7])
Patrono,sant'Anatolia[8] san Rocco (compatrono)[9]
Giorno festivo,9 e 10 luglio (Sant'Anatolia)[10] 16 agosto (San Rocco)[9]
Motto,Senatus PopolusQue Jeranensis[11][12][13]
Cartografia,Cartografia
Gerano,Gerano
Gerano – MappaPosizione del comune di Gerano nella città metropolitana di Roma Capitale,Gerano – MappaPosizione del comune di Gerano nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
