Capranica Prenestina comune,Capranica Prenestina comune.1
(dettagli)  (dettagli),(dettagli)  (dettagli)
Capranica Prenestina – Veduta,Capranica Prenestina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Francesco Colagrossi (lista civica) dall'8-6-2009
Territorio,Territorio
Coordinate,41°52′N 12°57′E
Altitudine,915 m s.l.m.
Superficie,"20,36 km²"
Abitanti,313[1] (30-11-2025)
Densità,"15,37 ab./km²"
Frazioni,Guadagnolo
Comuni confinanti,"Casape, Castel San Pietro Romano, Ciciliano, Genazzano, Pisoniano, Poli, Rocca di Cave, San Gregorio da Sassola, San Vito Romano"
Altre informazioni,Altre informazioni
Cod. postale,00030
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058019
Cod. catastale,B687
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona E, 2 927 GG[3]"
Nome abitanti,capranicensi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Capranica Prenestina,Capranica Prenestina
Capranica Prenestina – MappaPosizione del comune di Capranica Prenestina nella città metropolitana di Roma Capitale,Capranica Prenestina – MappaPosizione del comune di Capranica Prenestina nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
