Ponzano Romano comune,Ponzano Romano comune.1
,
Ponzano Romano – Veduta,Ponzano Romano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Giuseppina Di Marzio
Territorio,Territorio
Coordinate,42°15′29″N 12°34′18″E
Altitudine,205 m s.l.m.
Superficie,"19,52 km²"
Abitanti,1 257[1] (30-11-2025)
Densità,"64,4 ab./km²"
Comuni confinanti,"Civita Castellana (VT), Civitella San Paolo, Collevecchio (RI), Filacciano, Forano (RI), Nazzano, Sant'Oreste, Stimigliano (RI)"
Altre informazioni,Altre informazioni
Cod. postale,00060
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,058080
Cod. catastale,G874
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 828 GG[3]"
Nome abitanti,ponzanesi
Patrono,san Nicola da Bari
Giorno festivo,6 dicembre
Cartografia,Cartografia
Ponzano Romano,Ponzano Romano
Ponzano Romano – MappaPosizione del comune di Ponzano Romano nella città metropolitana di Roma Capitale,Ponzano Romano – MappaPosizione del comune di Ponzano Romano nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
