Filacciano comune,Filacciano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Daniele Malpicci (lista civica) dal 04-10-2021
Territorio,Territorio
Coordinate,42°15′21″N 12°36′03″E
Altitudine,197 m s.l.m.
Superficie,"5,66 km²"
Abitanti,480[1] (30-11-2025)
Densità,"84,81 ab./km²"
Comuni confinanti,"Forano (RI), Nazzano, Poggio Mirteto (RI), Ponzano Romano, Torrita Tiberina"
Altre informazioni,Altre informazioni
Cod. postale,00060
Prefisso,0765
Fuso orario,UTC+1
Codice ISTAT,058037
Cod. catastale,D586
Targa,RM
Cl. sismica,zona 2B (sismicità media)[2]
Cl. climatica,"zona D, 1 814 GG[3]"
Nome abitanti,filaccianesi
Patrono,sant'Egidio
Giorno festivo,1º settembre
Cartografia,Cartografia
Filacciano,Filacciano
Filacciano – MappaPosizione del comune di Filacciano nella città metropolitana di Roma Capitale,Filacciano – MappaPosizione del comune di Filacciano nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
