Nemi comune,Nemi comune.1
,
Nemi – Veduta,Nemi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Alberto Bertucci (lista civica Uniti per Nemi) dal 7-5-2012 (3º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,41°43′18.66″N 12°43′05.12″E
Altitudine,521[1] m s.l.m.
Superficie,"7,33 km²"
Abitanti,1 855[2] (30-11-2025)
Densità,"253,07 ab./km²"
Frazioni,"Parco dei Lecci, Valle delle Colombe, Valle Petrucola, Vigna Grande, Ville di Nemi"
Comuni confinanti,"Ariccia, Genzano di Roma, Rocca di Papa, Velletri"
Altre informazioni,Altre informazioni
Cod. postale,00074
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058070
Cod. catastale,F865
Targa,RM
Cl. sismica,zona 2B (sismicità media)[3]
Cl. climatica,"zona E, 2 161 GG[4]"
Nome abitanti,nemorensi o nemesi
Patrono,santi Filippo e Giacomo
Giorno festivo,3 maggio
Cartografia,Cartografia
Nemi,Nemi
Nemi – MappaPosizione del comune di Nemi nella città metropolitana di Roma Capitale,Nemi – MappaPosizione del comune di Nemi nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
