Campagnano di Roma comune,Campagnano di Roma comune.1
,
Campagnano di Roma – Veduta,Campagnano di Roma – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lazio
Città metropolitana,Roma
Amministrazione,Amministrazione
Sindaco,Alessio Nisi (lista civica Cambiare Davvero) dal 5-10-2021
Territorio,Territorio
Coordinate,42°08′N 12°23′E
Altitudine,270 m s.l.m.
Superficie,"46,94 km²"
Abitanti,11 003[1] (30-11-2025)
Densità,"234,41 ab./km²"
Frazioni,"Baccano, Bivio di Pavone, Monte Sarleo, Poggio dell'Ellera, Sorbo, Vallelunga[2]"
Comuni confinanti,"Anguillara Sabazia, Formello, Magliano Romano, Mazzano Romano, Nepi (VT), Roma, Sacrofano, Trevignano Romano"
Altre informazioni,Altre informazioni
Cod. postale,00063
Prefisso,06
Fuso orario,UTC+1
Codice ISTAT,058015
Cod. catastale,B496
Targa,Roma
Cl. sismica,zona 3A (sismicità bassa)[3]
Cl. climatica,"zona D, 1 769 GG[4]"
Nome abitanti,campagnanesi
Patrono,san Giovanni Battista e san Celestino martire
Giorno festivo,29 agosto
Cartografia,Cartografia
Campagnano di Roma,Campagnano di Roma
Campagnano di Roma – MappaPosizione del comune di Campagnano di Roma nella città metropolitana di Roma Capitale,Campagnano di Roma – MappaPosizione del comune di Campagnano di Roma nella città metropolitana di Roma Capitale
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
