Provincia di Pistoia provincia,Provincia di Pistoia provincia.1
,
"Provincia di Pistoia – VedutaPalazzo Panciatichi, sede della Provincia.","Provincia di Pistoia – VedutaPalazzo Panciatichi, sede della Provincia."
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Amministrazione,Amministrazione
Capoluogo,Pistoia
Presidente,Luca Marmo[1] (PD) dall'8-4-2019
Data di istituzione,1927
Territorio,Territorio
Coordinate del capoluogo,43°56′N 10°55′E
Superficie,"964,12 km²"
Abitanti,290 711[2] (31-10-2025)
Densità,"301,53 ab./km²"
Comuni,20 comuni
Province confinanti,"Lucca, Modena, Bologna, Prato, Firenze"
Altre informazioni,Altre informazioni
Cod. postale,"51100, 51010-51039"
Prefisso,"0572, 0573, 0574"
Fuso orario,UTC+1
ISO 3166-2,IT-PT
Codice ISTAT,047
Targa,PT
Cartografia,Cartografia
Provincia di Pistoia – Localizzazione,Provincia di Pistoia – Localizzazione
Provincia di Pistoia – MappaPosizione della provincia di Pistoia all'interno della Toscana.,Provincia di Pistoia – MappaPosizione della provincia di Pistoia all'interno della Toscana.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
