Sambuca Pistoiese comune,Sambuca Pistoiese comune.1
,
Sambuca Pistoiese – VedutaMunicipio,Sambuca Pistoiese – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pistoia
Amministrazione,Amministrazione
Sindaco,Marco Breschi (lista civica Insieme per Sambuca) dal 09-6-2024
Territorio,Territorio
Coordinate,44°06′19.73″N 10°59′43.4″E
Altitudine,504 m s.l.m.
Superficie,"77,25 km²"
Abitanti,1 412[1] (30-11-2025)
Densità,"18,28 ab./km²"
Frazioni,"Bellavalle, Campeda, Castello di Sambuca, Frassignoni, L'Acqua, Lagacci, Lentula, Monachino, Pavana (Pàvna - Pèvna), Posola, San Pellegrino in Cassero, Taviano, Torri, Treppio[2]"
Comuni confinanti,"Alto Reno Terme (BO), Camugnano (BO), Cantagallo (PO), Castel di Casio (BO), Pistoia"
Altre informazioni,Altre informazioni
Cod. postale,51020
Prefisso,0573
Fuso orario,UTC+1
Codice ISTAT,047018
Cod. catastale,H744
Targa,PT
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 594 GG[4]"
Nome abitanti,sambucani
Patrono,san Jacopo
Cartografia,Cartografia
Sambuca Pistoiese,Sambuca Pistoiese
Sambuca Pistoiese – MappaPosizione del comune di Sambuca Pistoiese nella provincia di Pistoia,Sambuca Pistoiese – MappaPosizione del comune di Sambuca Pistoiese nella provincia di Pistoia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
