Pescia comune,Pescia comune.1
,
Pescia – Veduta,Pescia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pistoia
Amministrazione,Amministrazione
Sindaco,Riccardo Franchi (PD) dal 29-5-2023
Territorio,Territorio
Coordinate,43°54′06.16″N 10°41′23.21″E
Altitudine,71 m s.l.m.
Superficie,"79,18 km²"
Abitanti,19 210[1] (30-11-2025)
Densità,"242,61 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Bagni di Lucca (LU), Buggiano, Capannori (LU), Chiesina Uzzanese, Marliana, Massa e Cozzile, Montecarlo (LU), San Marcello Piteglio, Uzzano, Villa Basilica (LU)"
Altre informazioni,Altre informazioni
Cod. postale,"51017, 51012"
Prefisso,0572
Fuso orario,UTC+1
Codice ISTAT,047012
Cod. catastale,G491
Targa,PT
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 877 GG[3]"
Nome abitanti,pesciatini
Patrono,"santa Dorotea, san Policronio, santi Abdon e Sennen"
Giorno festivo,6 febbraio Amministrativamente: Mercoledì delle Ceneri
Cartografia,Cartografia
Pescia,Pescia
Pescia – MappaPosizione del comune di Pescia all'interno della provincia di Pistoia,Pescia – MappaPosizione del comune di Pescia all'interno della provincia di Pistoia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
