Pieve a Nievole comune,Pieve a Nievole comune.1
,
Pieve a Nievole – Veduta,Pieve a Nievole – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pistoia
Amministrazione,Amministrazione
Sindaco,Gilda Diolaiuti dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,43°52′44″N 10°47′42″E
Altitudine,28 m s.l.m.
Superficie,"12,67 km²"
Abitanti,9 202[1] (30-11-2025)
Densità,"726,28 ab./km²"
Frazioni,"Colonna, Empolese-Cantarelle, Gallo, Mezzomiglio, Riani, Vergaiolo-Poggio alla Guardia, Via Nova[2]"
Comuni confinanti,"Monsummano Terme, Montecatini Terme, Ponte Buggianese, Serravalle Pistoiese"
Altre informazioni,Altre informazioni
Cod. postale,51018
Prefisso,0572
Fuso orario,UTC+1
Codice ISTAT,047013
Cod. catastale,G636
Targa,PT
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 708 GG[4]"
Nome abitanti,pievarini
Patrono,san Marco Evangelista
Giorno festivo,25 aprile
Cartografia,Cartografia
Pieve a Nievole,Pieve a Nievole
Pieve a Nievole – MappaPosizione del comune di Pieve a Nievole all'interno della provincia di Pistoia,Pieve a Nievole – MappaPosizione del comune di Pieve a Nievole all'interno della provincia di Pistoia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
