Uzzano comune,Uzzano comune.1
,
Uzzano – VedutaVeduta di Uzzano Castello,Uzzano – VedutaVeduta di Uzzano Castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pistoia
Amministrazione,Amministrazione
Sindaco,Dino Cordio (centro-sinistra) dal 22-9-2020
Territorio,Territorio
Coordinate,43°53′19.77″N 10°42′31.85″E
Altitudine,50 m s.l.m.
Superficie,"7,8 km²"
Abitanti,5 652[1] (30-11-2025)
Densità,"724,62 ab./km²"
Frazioni,"Forone, Fornaci, Sant'Allucio, Santa Lucia, Torricchio, Uzzano Castello, Molinaccio[2]"
Comuni confinanti,"Buggiano, Chiesina Uzzanese, Pescia"
Altre informazioni,Altre informazioni
Cod. postale,51010
Prefisso,0572
Fuso orario,UTC+1
Codice ISTAT,047021
Cod. catastale,L522
Targa,PT
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 837 GG[4]"
Nome abitanti,uzzanesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Uzzano,Uzzano
Uzzano – MappaPosizione del comune di Uzzano all'interno della provincia di Pistoia,Uzzano – MappaPosizione del comune di Uzzano all'interno della provincia di Pistoia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
