Massa e Cozzile comune,Massa e Cozzile comune.1
,
Massa e Cozzile – VedutaPanorama di Cozzile (a sinistra) e Massa,Massa e Cozzile – VedutaPanorama di Cozzile (a sinistra) e Massa
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pistoia
Amministrazione,Amministrazione
Sindaco,Marzia Niccoli (centro-sinistra) dal 26-5-2014
Territorio,Territorio
Coordinate,43°55′N 10°45′E
Altitudine,223 m s.l.m.
Superficie,"16,01 km²"
Abitanti,7 747[1] (30-11-2025)
Densità,"483,89 ab./km²"
Frazioni,"Cozzile, Massa, Margine Coperta, Traversagna, Vangile[2]"
Comuni confinanti,"Buggiano, Marliana, Montecatini Terme, Pescia"
Altre informazioni,Altre informazioni
Cod. postale,51010
Prefisso,0572
Fuso orario,UTC+1
Codice ISTAT,047008
Cod. catastale,F025
Targa,PT
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 509 GG[4]"
Nome abitanti,massesi e cozzilesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Massa e Cozzile,Massa e Cozzile
Massa e Cozzile – MappaPosizione del comune di Massa e Cozzile all'interno della provincia di Pistoia,Massa e Cozzile – MappaPosizione del comune di Massa e Cozzile all'interno della provincia di Pistoia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
