Lamporecchio comune,Lamporecchio comune.1
,
Lamporecchio – VedutaComune di Lamporecchio,Lamporecchio – VedutaComune di Lamporecchio
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pistoia
Amministrazione,Amministrazione
Sindaco,Anna Trassi (Insieme si cambia) dal 10-6-2024
Territorio,Territorio
Coordinate,43°49′N 10°54′E
Altitudine,56 m s.l.m.
Superficie,"22,25 km²"
Abitanti,7 365[1] (30-11-2025)
Densità,"331,01 ab./km²"
Frazioni,"Borgano, Cerbaia, Collececioli, Fornello, Mastromarco, Orbignano, Papone, Porciano, San Baronto, Spicchio, Papiano"
Comuni confinanti,"Cerreto Guidi (FI), Larciano, Quarrata, Serravalle Pistoiese, Vinci (FI)"
Altre informazioni,Altre informazioni
Cod. postale,51035
Prefisso,0573
Fuso orario,UTC+1
Codice ISTAT,047005
Cod. catastale,E432
Targa,PT
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 705 GG[3]"
Nome abitanti,lamporecchiani
Patrono,santo Stefano
Giorno festivo,26 dicembre
Cartografia,Cartografia
Lamporecchio,Lamporecchio
Lamporecchio – MappaPosizione del comune di Lamporecchio all'interno della provincia di Pistoia,Lamporecchio – MappaPosizione del comune di Lamporecchio all'interno della provincia di Pistoia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
