Montale comune,Montale comune.1
,
Montale – Veduta,Montale – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pistoia
Amministrazione,Amministrazione
Sindaco,Ferdinando Betti (centro-sinistra-Montale Democratica) dal 26-5-2014
Territorio,Territorio
Coordinate,43°56′N 11°01′E
Altitudine,85 m s.l.m.
Superficie,"32,17 km²"
Abitanti,10 475[1] (30-11-2025)
Densità,"325,61 ab./km²"
Frazioni,"Catugnano, Fognano, Stazione, San Salvatore in Agna, Tobbiana[2]"
Comuni confinanti,"Agliana, Cantagallo (PO), Montemurlo (PO), Pistoia"
Altre informazioni,Altre informazioni
Cod. postale,51037
Prefisso,0573
Fuso orario,UTC+1
Codice ISTAT,047010
Cod. catastale,F410
Targa,PT
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 811 GG[4]"
Nome abitanti,montalesi
Patrono,san Giovanni Evangelista
Giorno festivo,27 dicembre
Cartografia,Cartografia
Montale,Montale
Montale – MappaPosizione del comune di Montale all'interno della provincia di Pistoia,Montale – MappaPosizione del comune di Montale all'interno della provincia di Pistoia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
