Serravalle Pistoiese comune,Serravalle Pistoiese comune.1
,
Serravalle Pistoiese – Veduta,Serravalle Pistoiese – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pistoia
Amministrazione,Amministrazione
Sindaco,Piero Lunardi (lista civica Uniti per Serravalle) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,43°54′N 10°50′E
Altitudine,182 m s.l.m.
Superficie,"42,05 km²"
Abitanti,11 834[1] (30-11-2025)
Densità,"281,43 ab./km²"
Frazioni,"Casalguidi, Cantagrillo, Castellina, Stazione Masotti, Ponte Stella, Ponte di Serravalle, Vinacciano"
Comuni confinanti,"Lamporecchio, Larciano, Marliana, Monsummano Terme, Montecatini-Terme, Pieve a Nievole, Pistoia, Quarrata"
Altre informazioni,Altre informazioni
Cod. postale,51034
Prefisso,0573
Fuso orario,UTC+1
Codice ISTAT,047020
Cod. catastale,I660
Targa,PT
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 2 010 GG[3]"
Nome abitanti,serravallini o terrazzani (dalle colline terrazzate che ospitano le piante degli ulivi arginate con muretti a secco di sassi)
Patrono,san Lodovico di Tolosa
Giorno festivo,19 agosto
Cartografia,Cartografia
Serravalle Pistoiese,Serravalle Pistoiese
Serravalle Pistoiese – MappaPosizione del comune di Serravalle Pistoiese all'interno della provincia di Pistoia,Serravalle Pistoiese – MappaPosizione del comune di Serravalle Pistoiese all'interno della provincia di Pistoia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
