Chiesina Uzzanese comune,Chiesina Uzzanese comune.1
,
Chiesina Uzzanese – Veduta,Chiesina Uzzanese – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pistoia
Amministrazione,Amministrazione
Sindaco,Fabio Berti (centro-destra) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°50′17.1″N 10°42′57.92″E
Altitudine,20 m s.l.m.
Superficie,"7,2 km²"
Abitanti,4 629[1] (30-11-2025)
Densità,"642,92 ab./km²"
Frazioni,"Capanna, Chiesanuova, Molin Nuovo"
Comuni confinanti,"Altopascio (LU), Buggiano, Fucecchio (FI), Montecarlo (LU), Pescia, Ponte Buggianese, Uzzano"
Altre informazioni,Altre informazioni
Cod. postale,51013
Prefisso,0572
Fuso orario,UTC+1
Codice ISTAT,047022
Cod. catastale,C631
Targa,PT
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 695 GG[3]"
Nome abitanti,chiesinesi
Patrono,Nostra Signora della Neve
Giorno festivo,5 agosto
Cartografia,Cartografia
Chiesina Uzzanese,Chiesina Uzzanese
Chiesina Uzzanese – MappaPosizione del comune di Chiesina Uzzanese all'interno della provincia di Pistoia,Chiesina Uzzanese – MappaPosizione del comune di Chiesina Uzzanese all'interno della provincia di Pistoia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
