Quarrata comune,Quarrata comune.1
,
Quarrata – Veduta,Quarrata – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pistoia
Amministrazione,Amministrazione
Sindaco,Gabriele Romiti (PD) dal 13-6-2022
Territorio,Territorio
Coordinate,43°50′51″N 10°59′00″E
Altitudine,48 m s.l.m.
Superficie,"45,91 km²"
Abitanti,27 028[1] (30-11-2025)
Densità,"588,72 ab./km²"
Frazioni,"Barba, Buriano, Campiglio, Caserana, Casini, Catena, Colle, Forrottoli, Ferruccia, Lucciano, Montemagno, Santallemura, Sant'Antonio, Santonuovo, Tizzana, Valenzatico, Vignole, Olmi"
Comuni confinanti,"Agliana, Carmignano (PO), Lamporecchio, Pistoia, Prato (PO), Serravalle Pistoiese, Vinci (FI)"
Altre informazioni,Altre informazioni
Cod. postale,51039
Prefisso,0573
Fuso orario,UTC+1
Codice ISTAT,047017
Cod. catastale,H109
Targa,PT
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 691 GG[3]"
Nome abitanti,quarratini
Patrono,Madonna della Cintola
Giorno festivo,1º martedì di settembre
Cartografia,Cartografia
Quarrata,Quarrata
Quarrata – MappaPosizione del comune di Quarrata all'interno della provincia di Pistoia,Quarrata – MappaPosizione del comune di Quarrata all'interno della provincia di Pistoia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
