Abetone Cutigliano comune,Abetone Cutigliano comune.1
,
Abetone Cutigliano – Veduta,Abetone Cutigliano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pistoia
Amministrazione,Amministrazione
Capoluogo,Cutigliano
Sindaco,Gabriele Bacci (lista civica Vivi Abetone Cutigliano) dal 09-06-2024
Data di istituzione,1º gennaio 2017
Territorio,Territorio
Coordinate del capoluogo,44°06′01″N 10°45′23″E
Altitudine,678 m s.l.m.
Superficie,"74,94[1] km²"
Abitanti,1 828[2] (30-11-2025)
Densità,"24,39 ab./km²"
Frazioni,"Abetone, Bicchiere, Casotti-Ponte Sestaione, Cecchetto, Cutigliano, Doganaccia, Faidello, Fontana Vaccaia, La Secchia, Le Regine, Melo, Pian degli Ontani, Pian dei Sisi, Pian di Novello, Pianosinatico, Rivoreta, Val di Luce"
Comuni confinanti,"Bagni di Lucca (LU), Coreglia Antelminelli (LU), Fanano (MO), Fiumalbo (MO), San Marcello Piteglio (PT)"
Altre informazioni,Altre informazioni
Cod. postale,51024
Prefisso,0573
Fuso orario,UTC+1
Codice ISTAT,047023
Cod. catastale,M376
Targa,PT
Cl. sismica,zona 2 (sismicità media)[3]
Patrono,"san Bartolomeo Apostolo, san Leopoldo"
Giorno festivo,"24 agosto, 15 novembre"
Cartografia,Cartografia
Cutigliano,Cutigliano
Abetone Cutigliano – MappaPosizione del comune di Abetone Cutigliano nella provincia di Pistoia,Abetone Cutigliano – MappaPosizione del comune di Abetone Cutigliano nella provincia di Pistoia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
