Montecatini Terme comune,Montecatini Terme comune.1
,
Montecatini Terme – VedutaMontecatini Alto,Montecatini Terme – VedutaMontecatini Alto
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pistoia
Amministrazione,Amministrazione
Sindaco,Claudio Del Rosso (PD-M5S- Azione-Lista Civica) dal 24-6-2024
Territorio,Territorio
Coordinate,43°52′58″N 10°46′16″E
Altitudine,29 m s.l.m.
Superficie,"17,69 km²"
Abitanti,21 806[1] (30-11-2025)
Densità,"1 232,67 ab./km²"
Frazioni,"Montecatini Alto, Nievole, Vico, Biscolla, Gallo"
Comuni confinanti,"Buggiano, Marliana, Massa e Cozzile, Pieve a Nievole, Ponte Buggianese, Serravalle Pistoiese"
Altre informazioni,Altre informazioni
Cod. postale,51016
Prefisso,0572
Fuso orario,UTC+1
Codice ISTAT,047011
Cod. catastale,A561
Targa,PT
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 762 GG[3]"
Nome abitanti,montecatinesi
Patrono,santa Barbara
Giorno festivo,4 dicembre
Cartografia,Cartografia
Montecatini Terme,Montecatini Terme
Montecatini Terme – MappaPosizione del comune di Montecatini Terme all'interno della provincia di Pistoia,Montecatini Terme – MappaPosizione del comune di Montecatini Terme all'interno della provincia di Pistoia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
