San Marcello Piteglio comune,San Marcello Piteglio comune.1
,
San Marcello Piteglio – Veduta,San Marcello Piteglio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pistoia
Amministrazione,Amministrazione
Capoluogo,San Marcello Pistoiese
Sindaco,Luca Marmo (lista civica di centro-sinistra Insieme) dal 12-6-2017 (2º mandato dal 13-6-2022)
Data di istituzione,1º gennaio 2017
Territorio,Territorio
Coordinate del capoluogo,44°03′20″N 10°47′27″E
Altitudine,623 m s.l.m.
Superficie,"134,96[1] km²"
Abitanti,7 432[2] (30-11-2025)
Densità,"55,07 ab./km²"
Frazioni,"Bardalone, Calamecca, Campo Tizzoro, Crespole, Gavinana, La Lima, Lanciole, Lancisa, Limestre, Lizzano Pistoiese, Lolle, Macchia Antonini, Mammiano, Mammiano Basso, Maresca, Piteglio, Pontepetri, Popiglio, Prataccio, Prunetta, San Marcello Pistoiese, Spignana, Vizzaneta"
Comuni confinanti,"Abetone Cutigliano, Marliana, Lizzano in Belvedere (BO), Fanano (MO), Bagni di Lucca (LU), Pistoia, Pescia"
Altre informazioni,Altre informazioni
Cod. postale,51028
Prefisso,0573
Fuso orario,UTC+1
Codice ISTAT,047024
Cod. catastale,M377
Targa,PT
Cl. sismica,zona 2 (sismicità media)[3]
Nome abitanti,san piteglini
Patrono,"santa Celestina, Santa Maria Assunta"
Cartografia,Cartografia
San Marcello Pistoiese,San Marcello Pistoiese
San Marcello Piteglio – MappaPosizione del comune di San Marcello Piteglio nella provincia di Pistoia,San Marcello Piteglio – MappaPosizione del comune di San Marcello Piteglio nella provincia di Pistoia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
