Ponte Buggianese comune,Ponte Buggianese comune.1
,
Ponte Buggianese – Veduta,Ponte Buggianese – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pistoia
Amministrazione,Amministrazione
Sindaco,Nicola Tesi (PD) dal 10-6-2018
Data di istituzione,1883
Territorio,Territorio
Coordinate,43°50′27″N 10°44′51″E
Altitudine,18 m s.l.m.
Superficie,"29,53[1] km²"
Abitanti,8 904[2] (30-11-2025)
Densità,"301,52 ab./km²"
Frazioni,"Albinatico, Anchione, Casabianca, Fattoria, Ponte di Mingo, Vione"
Comuni confinanti,"Buggiano, Chiesina Uzzanese, Fucecchio (FI), Larciano, Monsummano Terme, Montecatini Terme, Pieve a Nievole"
Altre informazioni,Altre informazioni
Cod. postale,51019
Prefisso,0572
Fuso orario,UTC+1
Codice ISTAT,047016
Cod. catastale,G833
Targa,PT
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 691 GG[4]"
Nome abitanti,pontigiani
Patrono,Madre del Buon Consiglio
Giorno festivo,26 aprile
Cartografia,Cartografia
Ponte Buggianese,Ponte Buggianese
Ponte Buggianese – MappaPosizione del comune di Ponte Buggianese all'interno della provincia di Pistoia,Ponte Buggianese – MappaPosizione del comune di Ponte Buggianese all'interno della provincia di Pistoia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
