Monsummano Terme comune,Monsummano Terme comune.1
,
Monsummano Terme – Veduta,Monsummano Terme – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Toscana
Provincia,Pistoia
Amministrazione,Amministrazione
Sindaco,Simona De Caro (PD) dal 10-6-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,43°52′N 10°49′E
Altitudine,20 m s.l.m.
Superficie,"32,62 km²"
Abitanti,20 867[1] (30-11-2025)
Densità,"639,7 ab./km²"
Frazioni,"Bizzarrino, Cintolese, Grotta Giusti, Le Case, Monsummano Alto, Montevettolini, Pazzera, Pozzarello, Vergine Dei Pini, Uggia, Violi"
Comuni confinanti,"Larciano, Pieve a Nievole, Ponte Buggianese, Serravalle Pistoiese"
Altre informazioni,Altre informazioni
Cod. postale,51015
Prefisso,0572
Fuso orario,UTC+1
Codice ISTAT,047009
Cod. catastale,F384
Targa,PT
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 695 GG[3]"
Nome abitanti,monsummanesi
Patrono,Maria santissima della Fontenova
Giorno festivo,9 giugno
Cartografia,Cartografia
Monsummano Terme,Monsummano Terme
Monsummano Terme – MappaPosizione del comune di Monsummano Terme all'interno della provincia di Pistoia,Monsummano Terme – MappaPosizione del comune di Monsummano Terme all'interno della provincia di Pistoia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
