Molino dei Torti comune,Molino dei Torti comune.1
,
Molino dei Torti – Veduta,Molino dei Torti – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Mario Campanella (lista civica Insieme per Molino) dal 14-5-2023
Territorio,Territorio
Coordinate,45°01′31″N 8°53′41″E
Altitudine,76 m s.l.m.
Superficie,"2,75 km²"
Abitanti,565[1] (30-11-2025)
Densità,"205,45 ab./km²"
Comuni confinanti,"Alzano Scrivia, Casei Gerola (PV), Castelnuovo Scrivia, Guazzora, Isola Sant'Antonio"
Altre informazioni,Altre informazioni
Cod. postale,15050
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006096
Cod. catastale,F293
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 546 GG[3]"
Nome abitanti,molinesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Molino dei Torti,Molino dei Torti
Molino dei Torti – MappaMappa del Comune di Molino dei Torti all'interno della Provincia di Alessandria,Molino dei Torti – MappaMappa del Comune di Molino dei Torti all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
