San Cristoforo comune,San Cristoforo comune.1
,
San Cristoforo – VedutaPanorama,San Cristoforo – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Fabio Ferrari (lista civica Insieme per San Cristoforo) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°41′36″N 8°45′04″E
Altitudine,301 m s.l.m.
Superficie,"3,57 km²"
Abitanti,518[1] (30-11-2025)
Densità,"145,1 ab./km²"
Frazioni,Camarella
Comuni confinanti,"Capriata d'Orba, Castelletto d'Orba, Francavilla Bisio, Gavi, Montaldeo, Parodi Ligure"
Altre informazioni,Altre informazioni
Cod. postale,15060
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006152
Cod. catastale,H810
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 638 GG[3]"
Nome abitanti,sancristoforesi
Patrono,san Cristoforo
Giorno festivo,7 gennaio
Cartografia,Cartografia
San Cristoforo,San Cristoforo
San Cristoforo – MappaMappa del comune di San Cristoforo all'interno della provincia di Alessandria,San Cristoforo – MappaMappa del comune di San Cristoforo all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
