Bassignana comune,Bassignana comune.1
,
Bassignana – VedutaPorta di ingresso con stemma,Bassignana – VedutaPorta di ingresso con stemma
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Massino Barbadoro (lista civica Progetto Bassignana) dal 9-6-2024
Territorio,Territorio
Coordinate,45°00′08″N 8°43′55″E
Altitudine,96 m s.l.m.
Superficie,"28,71 km²"
Abitanti,1 573[1] (30-11-2025)
Densità,"54,79 ab./km²"
Frazioni,"Fiondi, Mugarone"
Comuni confinanti,"Alluvioni Piovera, Frascarolo (PV), Gambarana (PV), Isola Sant'Antonio, Montecastello, Pecetto di Valenza, Pieve del Cairo (PV), Rivarone, Suardi (PV), Valenza"
Altre informazioni,Altre informazioni
Cod. postale,15042
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006013
Cod. catastale,A708
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 563 GG[3]"
Nome abitanti,bassignanesi
Patrono,Madonna del Carmine
Giorno festivo,16 luglio
Cartografia,Cartografia
Bassignana,Bassignana
Bassignana – MappaPosizione del comune nella provincia di Alessandria,Bassignana – MappaPosizione del comune nella provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
