Capriata d'Orba comune,Capriata d'Orba comune.1
,
Capriata d'Orba – VedutaVeduta,Capriata d'Orba – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Maria Cristina Dameri (lista civica Vivere Capriata) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°43′43.93″N 8°41′25.28″E
Altitudine,176 m s.l.m.
Superficie,"28,47 km²"
Abitanti,1 782[1] (30-11-2025)
Densità,"62,59 ab./km²"
Frazioni,"Pratalborato, Giora, Cascinotti, Barcanello, Garbagnina, Aureliana, Garaglia, Oltre Orba, Iride, Val Lemme, Villa Carolina"
Comuni confinanti,"Basaluzzo, Castelletto d'Orba, Francavilla Bisio, Predosa, Rocca Grimalda, San Cristoforo, Silvano d'Orba"
Altre informazioni,Altre informazioni
Cod. postale,15060
Prefisso,0143
Fuso orario,UTC+1
Codice ISTAT,006029
Cod. catastale,B701
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 699 GG[3]"
Nome abitanti,capriatesi
Patrono,san Pietro
Giorno festivo,29 giugno
Cartografia,Cartografia
Capriata d'Orba,Capriata d'Orba
Capriata d'Orba – MappaMappa del comune di Capriata d'Orba all'interno della provincia di Alessandria,Capriata d'Orba – MappaMappa del comune di Capriata d'Orba all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
