Felizzano comune,Felizzano comune.1
,
Felizzano – VedutaVeduta,Felizzano – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Luca Cerri (lista civica) dal 27-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°54′01″N 8°26′13″E
Altitudine,114 m s.l.m.
Superficie,"25,01 km²"
Abitanti,2 068[1] (30-11-2025)
Densità,"82,69 ab./km²"
Comuni confinanti,"Altavilla Monferrato, Fubine Monferrato, Masio, Oviglio, Quargnento, Quattordio, Solero, Viarigi (AT)"
Altre informazioni,Altre informazioni
Cod. postale,15023
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006068
Cod. catastale,D528
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 578 GG[3]"
Nome abitanti,Felizzanesi
Patrono,santo Stefano
Giorno festivo,26 dicembre
Cartografia,Cartografia
Felizzano,Felizzano
Felizzano – MappaMappa del comune di Felizzano all'interno della provincia di Alessandria,Felizzano – MappaMappa del comune di Felizzano all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
