Costa Vescovato comune,Costa Vescovato comune.1
,
Costa Vescovato – VedutaPanorama della frazione Montale Celli da Costa Vescovato,Costa Vescovato – VedutaPanorama della frazione Montale Celli da Costa Vescovato
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Ottavio Rube (lista civica) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°48′59.15″N 8°55′36.74″E
Altitudine,305 m s.l.m.
Superficie,"7,9 km²"
Abitanti,314[1] (30-11-2025)
Densità,"39,75 ab./km²"
Frazioni,"Arpicella, Casale Montesoro, Cascina San Leto, Cascina Sposino, Montale Celli, Sarizzola"
Comuni confinanti,"Avolasca, Carezzano, Castellania Coppi, Cerreto Grue, Montegioco, Paderna, Villaromagnano"
Altre informazioni,Altre informazioni
Cod. postale,15050
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006062
Cod. catastale,D102
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 738 GG[3]"
Nome abitanti,costaioli
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Costa Vescovato,Costa Vescovato
Costa Vescovato – MappaMappa del comune di Costa Vescovato all'interno della provincia di Alessandria,Costa Vescovato – MappaMappa del comune di Costa Vescovato all'interno della provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
