Castelletto Monferrato comune,Castelletto Monferrato comune.1
,
Castelletto Monferrato – VedutaPanorama,Castelletto Monferrato – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Gianluca Colletti (lista civica) dal 12-06-2017 (2º mandato dal 12-06-2022)
Territorio,Territorio
Coordinate,44°58′56″N 8°33′56″E
Altitudine,197 m s.l.m.
Superficie,"9,58 km²"
Abitanti,1 445[1] (30-11-2025)
Densità,"150,84 ab./km²"
Frazioni,"Gerlotti, Giardinetto"
Comuni confinanti,"Alessandria, Quargnento, San Salvatore Monferrato"
Altre informazioni,Altre informazioni
Cod. postale,15040
Prefisso,0131
Fuso orario,UTC+1
Codice ISTAT,006051
Cod. catastale,C162
Targa,AL
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 648 GG[3]"
Nome abitanti,castellettesi
Patrono,san Siro
Giorno festivo,9 dicembre
Cartografia,Cartografia
Castelletto Monferrato,Castelletto Monferrato
Castelletto Monferrato – MappaMappa del Comune di Castelletto Monferrato all'interno della Provincia di Alessandria,Castelletto Monferrato – MappaMappa del Comune di Castelletto Monferrato all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
