Grognardo comune,Grognardo comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Alessandria
Amministrazione,Amministrazione
Sindaco,Luca Roggero (lista civica) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,44°37′53″N 8°29′37″E
Altitudine,206 m s.l.m.
Superficie,"9,08 km²"
Abitanti,226[1] (30-11-2025)
Densità,"24,89 ab./km²"
Frazioni,"Benzi, Galletto, Poggio, Ronchi, Oviè"
Comuni confinanti,"Acqui Terme, Cavatore, Morbello, Ponzone, Visone"
Altre informazioni,Altre informazioni
Cod. postale,15010
Prefisso,0144
Fuso orario,UTC+1
Codice ISTAT,006084
Cod. catastale,E188
Targa,AL
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 655 GG[3]"
Nome abitanti,grognardesi
Patrono,sant'Andrea
Giorno festivo,30 novembre
Cartografia,Cartografia
Grognardo,Grognardo
Grognardo – MappaMappa del Comune di Grognardo all'interno della Provincia di Alessandria,Grognardo – MappaMappa del Comune di Grognardo all'interno della Provincia di Alessandria
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
